"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
1,0.28,0.33,0.39,0.622459331201855,0.464142246285368,1,0.17400138640725,39,"Baseline",1
2,0.23,0.31,0.46,0.398951430203086,0.491101534039341,2,0.127573471818949,7,"Baseline",1
3,0.21,0.28,0.51,0.322842185397834,0.500062735412686,3,0.105763754903647,5,"Baseline",1
4,0.13,0.36,0.51,0.32865254651727,0.433736204800441,3,0,0,"Baseline",1
5,0.1,0.39,0.51,0.0873094026386597,0.350339787820016,3,0,0,"Baseline",1
6,0.07,0.42,0.51,0.0493042559653722,0.263661937637842,3,0,0,"Baseline",1
7,0.05,0.44,0.51,0.0273467867961829,0.183701951942556,3,0,0,"Baseline",1
8,0.07,0.42,0.51,0.0183502417056918,0.111546625143205,3,0,0,"Baseline",1
9,0.09,0.4,0.51,0.0273467867961829,0.0605552287828642,3,0,0,"Baseline",1
10,0.07,0.42,0.51,0.0405717584230923,0.0303194738233185,3,0,0,"Baseline",1
11,0.09,0.4,0.51,0.0273467867961829,0.0119895230576049,3,0,0,"Baseline",1
12,0.06,0.43,0.51,0.0405717584230923,0.00341489309693413,3,0,0,"Baseline",1
13,0.06,0.43,0.51,0.0224115964180325,0.00988270529350936,4,0.100345363216983,0,"Baseline",1
14,0.03,0.46,0.51,0.0224115964180325,0.00234145679682955,4,0,0,"Baseline",1
15,0.04,0.45,0.51,0.0122760250714682,0.000272447554626821,4,0,0,"Baseline",1
16,0.06,0.43,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
17,0.05,0.44,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
18,0.05,0.44,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
19,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
20,0.04,0.45,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
21,0.05,0.44,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
22,0.08,0.41,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
23,0.07,0.42,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
24,0.05,0.44,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
25,0.02,0.47,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
26,0.03,0.46,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
27,0.03,0.46,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
28,0.04,0.45,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
29,0.05,0.44,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
30,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
31,0.07,0.42,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
32,0.05,0.44,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
33,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
34,0.08,0.41,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
35,0.07,0.42,0.51,0.0333316865338533,0,4,0,0,"Baseline",1
36,0.06,0.43,0.51,0.0273467867961829,0,4,0,0,"Baseline",1
37,0.06,0.43,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
38,0.02,0.47,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
39,0.03,0.46,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
40,0.04,0.45,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
41,0.01,0.48,0.51,0.0150135690570338,0,4,0,0,"Baseline",1
42,0.02,0.47,0.51,0.0081956822453947,0,4,0,0,"Baseline",1
43,0.03,0.46,0.51,0.0100325551860134,0,4,0,0,"Baseline",1
44,0.05,0.44,0.51,0.0122760250714682,0,4,0,0,"Baseline",1
45,0.06,0.43,0.51,0.0183502417056918,0,4,0,0,"Baseline",1
46,0.07,0.42,0.51,0.0224115964180325,0,4,0,0,"Baseline",1
